Final_Rank,Feature,Feature_Group,Consensus_Score,Final_SHAP,SHAP_Importance,Stability_Score,Boruta_Hits,VIF,VIF_Selected,Stability_Selected,Boruta_Selected,SHAP_Selected
1,dividend_yield,DERIVED_RATIOS,3,0.5044613902425865,0.49809948701228246,100.0,14,1.036637946584731,True,True,False,True
2,ratio_cash_liquidity,DERIVED_RATIOS,4,0.26575476792804675,0.21313894472925962,100.0,89,2.1044864997929915,True,True,True,True
3,ny_solid,BALANCE_SHEET,3,0.2108180915039336,0.19024252303937678,100.0,0,14.055372069477617,True,True,False,True
4,ny_avkegkap,INCOME_STATEMENT,4,0.20411680058412715,0.2023094838417546,100.0,96,1.049823469601839,True,True,True,True
5,company_age,OTHER,4,0.20067603613277887,0.19443471603320175,100.0,49,2.8477259598817635,True,True,True,True
6,log_br07b_kabasu,OTHER,3,0.18406765575129128,0.16437695860820103,100.0,34,11.968837094283966,True,True,False,True
7,ny_skuldgrd,BALANCE_SHEET,3,0.14814408558237865,0.13536528676191625,99.0,9,1.2321191130344715,True,True,False,True
8,profit_cagr_3y,TEMPORAL,3,0.13490855319041664,0.07772364885590392,92.0,0,1.2504840749757267,True,True,False,True
9,ny_omsf,OPERATIONAL,4,0.11911576460343178,0.06823725979592765,99.0,100,1.0073709957786823,True,True,True,True
10,ny_kapomsh,BALANCE_SHEET,3,0.11708306215601698,0.06985516792600432,81.0,2,38.23839383680547,True,True,False,True
11,rr01_ntoms_yoy_abs,TRENDS,4,0.11550601701514229,0.09704342699098538,97.0,79,1.1008055802017278,True,True,True,True
12,revenue_cagr_3y,TEMPORAL,4,0.11300898534397655,0.11708638102289566,100.0,100,1.17781041076854,True,True,True,True
13,dpo_days_yoy_diff,WORKING_CAPITAL,4,0.10370977211932948,0.10580750379411899,100.0,100,1.102912488054716,True,True,True,True
14,ny_rs,OTHER,4,0.1011416884678694,0.13776256922929264,100.0,100,1.1123419639696004,True,True,True,True
15,ny_nettomarg,INCOME_STATEMENT,3,0.095759075120956,0.08684781667830467,95.0,31,1.58648876202049,True,True,False,True
16,dso_days_yoy_diff,WORKING_CAPITAL,4,0.09561730847912668,0.0965595459478535,100.0,100,1.0083323104244692,True,True,True,True
17,ny_foradlvpanst,OPERATIONAL,4,0.09435604416063838,0.07033197949356908,88.0,59,1.0609323867988156,True,True,True,True
18,dpo_days,DERIVED_RATIOS,4,0.09387920804165835,0.06578196240629655,100.0,100,1.1055831599095505,True,True,True,True
19,ny_solid_yoy_diff,TRENDS,4,0.08911609408714002,0.07219108961455613,100.0,87,1.0876831123937456,True,True,True,True
20,bransch_sni071_konv,OTHER,4,0.08816058497835831,0.09525634588759248,99.0,81,8.620435715625572,True,True,True,True
21,ratio_depreciation_cost,DERIVED_RATIOS,3,0.08630609911551465,0.08818679181657069,100.0,32,1.2146749679726194,True,True,False,True
22,current_ratio_yoy_pct,TRENDS,4,0.08608997346125478,0.07185456469560435,100.0,99,1.0312867637792502,True,True,True,True
23,inventory_days_yoy_diff,WORKING_CAPITAL,3,0.0849449157310198,0.0766202756891185,99.0,6,1.0227386492436488,True,True,False,True
24,event_count_last_5y,CRISIS_HISTORY,4,0.08191004072001974,0.08409152945915895,100.0,100,1.0133679711011299,True,True,True,True
25,ratio_cash_liquidity_yoy_abs,TRENDS,4,0.07551782412110884,0.06912481305004327,99.0,68,2.208975664343942,True,True,True,True
26,revenue_drawdown_5y,TEMPORAL,3,0.07012916474806818,0.07205462555802433,86.0,3,1.5064536109825815,True,True,False,True
27,ratio_retained_earnings_equity,DERIVED_RATIOS,3,0.06962726475738024,0.0722593806268713,76.0,34,1.016370476068904,True,True,False,True
28,rr07_rorresul_yoy_pct,TRENDS,4,0.05102197388493887,0.05781938544316111,98.0,100,1.0205989245152085,True,True,True,True
29,dso_days,DERIVED_RATIOS,3,0.04720529104578786,0.04757414189928879,93.0,13,1.2278449755253555,True,True,False,True
30,ratio_cash_liquidity_yoy_pct,TRENDS,4,0.04425095412356843,0.05551639183090248,99.0,88,1.0065263249988194,True,True,True,True
31,ratio_cash_interest_cov,DERIVED_RATIOS,3,0.033703301476993214,0.04027895835253499,85.0,3,1.0372076009500084,True,True,False,True
32,ny_anstf,OPERATIONAL,3,0.0251665299201191,0.028615551470170728,93.0,85,1.0502907705929236,True,True,True,False
