metric,auc_with_all,auc_without,auc_drop,num_features,keep
working_capital,0.9629180327150365,0.9611872278142759,0.0017308049007606074,3,True
equity,0.9629180327150365,0.9612099843351144,0.0017080483799221113,2,True
leverage,0.9629180327150365,0.9616743823538542,0.0012436503611823468,1,True
operating_margin,0.9629180327150365,0.9617854892259284,0.0011325434891080732,2,True
revenue,0.9629180327150365,0.9621083195546419,0.0008097131603945762,2,True
cash_liquidity,0.9629180327150365,0.9621299971194829,0.0007880355955536267,3,True
profit,0.9629180327150365,0.9625107327326624,0.0004072999823740986,1,False
assets,0.9629180327150365,0.9630229690613877,-0.0001049363463512254,1,False
net_margin,0.9629180327150365,0.963468099446201,-0.0005500667311645335,2,False
