metric,computation,best_single_window,auc_best_single,auc_all,synergy,decision,features_to_keep
revenue,cagr,5y,0.9607864291324563,0.962034970235788,0.001248541103331724,keep_both,"['revenue_cagr_3y', 'revenue_cagr_5y']"
assets,cagr,3y,0.9612054184611029,0.9612962043389242,9.078587782129777e-05,3y,['assets_cagr_3y']
equity,cagr,5y,0.9608093510407103,0.9610134686451263,0.00020411760441596538,5y,['equity_cagr_5y']
profit,cagr,3y,0.9615910822254901,0.9606102816902682,-0.0009808005352218707,3y,['profit_cagr_3y']
operating_margin,trend,5y,0.9606069207817137,0.9610109720827085,0.0004040513009947455,5y,['ny_rormarg_trend_5y']
operating_margin,volatility,3y,0.9611933766821232,0.9608029147137833,-0.00039046196833991687,3y,['ny_rormarg_vol_3y']
operating_margin,average,5y,0.9603494617979457,0.9603677036361153,1.824183816967473e-05,5y,['ny_rormarg_avg_5y']
net_margin,trend,3y,0.9614181243977473,0.9600859051376728,-0.0013322192600745408,3y,['ny_nettomarg_trend_3y']
net_margin,volatility,3y,0.9602811075728246,0.9606689154669225,0.0003878078940978691,3y,['ny_nettomarg_vol_3y']
net_margin,average,2y,0.9612224927428741,0.9619002562790232,0.000677763536149123,keep_both,"['ny_nettomarg_avg_2y', 'ny_nettomarg_avg_5y']"
leverage,trend,3y,0.9614175376662013,0.9592998029997643,-0.0021177346664370544,3y,['ny_skuldgrd_trend_3y']
leverage,volatility,3y,0.9612451586944135,0.9596710938101698,-0.00157406488424372,3y,['ny_skuldgrd_vol_3y']
cash_liquidity,trend,3y,0.9599261664897976,0.9603873099204645,0.00046114343066694374,3y,['ratio_cash_liquidity_trend_3y']
cash_liquidity,average,5y,0.9601913081128038,0.960978284441338,0.0007869763285341946,keep_both,"['ratio_cash_liquidity_avg_2y', 'ratio_cash_liquidity_avg_5y']"
