cluster,company_age,sni_group_3digit,ny_kapomsh,ny_rs,ny_skuldgrd,ny_solid,ny_avkegkap,ny_kasslikv,ny_nettomarg,ny_omspanst,ny_foradlvpanst,ny_omsf,ny_anstf,log_br10_eksu,log_br07b_kabasu,log_bslov_antanst,log_rr15_resar,ratio_depreciation_cost,ratio_cash_interest_cov,ratio_cash_liquidity,ratio_short_term_debt_share,ratio_retained_earnings_equity,dividend_yield,dso_days,dpo_days,rr01_ntoms_yoy_abs,rr07_rorresul_yoy_pct,ny_solid_yoy_diff,ratio_cash_liquidity_yoy_pct,ratio_cash_liquidity_yoy_abs,dso_days_yoy_diff,inventory_days_yoy_diff,dpo_days_yoy_diff,current_ratio_yoy_pct,revenue_cagr_3y,profit_cagr_3y,revenue_drawdown_5y,dpo_days_trend_3y,any_event_last_5y,term_spread
0,0.008043823136581264,0.0014229451984873304,-0.026647657217030146,0.07581893462461305,0.3739526730890367,0.16189779302112636,-0.05718696645773918,0.027423311132579314,0.012257522965193873,0.004178478120129107,-0.016504605231101213,-0.0025092837940540232,-0.004890569916396937,0.05399094918935567,0.2054657373597844,-0.0018458480834942208,-0.042531001753169304,-0.047496732711001084,0.038176551196206374,0.12079944494896255,-0.017110146660874608,0.008211714140842685,0.20833428719375827,-2.3382961632935307e-05,-0.03415176742248745,-0.011332755126907073,0.003947887385531019,0.003376491959692197,-0.002359213407598812,0.008691354942071664,-0.000994520526442402,-0.0021384063134676145,0.002085552181789364,0.002937820898781844,-0.007263143417756211,0.004689770357721899,-0.006973966043993881,-0.008902667105019248,7.289170073298881e-05,-0.01695572340485535
1,0.20194703688171134,-0.00028218865199436155,0.08440467624662024,-0.041011536585796,-0.039373285976332474,-0.01077420110984174,-0.04038788014287992,-0.008608637631102794,-0.030752416403441042,0.025841680386996416,0.028425490939261677,-0.0001344663233070604,0.0010393907278220852,0.08614883633883905,0.09867351461740044,-0.006187177469286457,-0.026511742397884976,0.03982252632758695,-0.012491398527571177,-0.03068541347432988,0.010063641738472151,0.012947220751679107,-0.13271988179476626,0.0022553212597606143,-0.016837883445233775,-0.013111044950149345,0.002093754100756585,-0.007232484014925566,-0.008178611326396567,0.003769559653309671,-5.408932738482477e-06,0.005472775240790434,0.0022407611043131995,1.760715373938525e-05,0.06090310838475686,0.005355152034538746,-0.007673984573310649,-0.004497118956488724,0.00022009514732112151,0.0020150743429764232
2,0.2825214774479721,0.1953428366037279,0.032469050025334525,-0.025269761511161,0.1261702543423039,0.05818887076427083,0.0774500440751272,-0.0025262378020378404,-0.009133308248158483,0.020839263397345844,0.03748753099100004,0.08851097731700035,0.09662245396105033,0.037499675123015136,0.06189330791909436,0.008569661920929575,-0.00795632745239947,0.05189273383735469,-0.00870473535166447,0.012443813314384744,0.0035816464489165844,0.04606435690651313,0.23158855626824199,0.013162185233963074,0.009817612162329294,-0.009765047919363562,0.004331264905292372,0.012093174166789754,0.009869378189081486,0.0047084718719151665,0.02332892119608423,0.01481086646045636,-0.0008200244167097224,0.020427297061575606,0.13680183623292047,0.046421619162002326,0.04095301002889628,0.019453695391454702,0.0002489958945414984,0.02328421202914527
3,0.15618566440998294,0.0808944381676487,0.020752032497458706,-0.014978743409137513,0.20937121276698709,0.0884739035796593,0.048223021627616755,0.007753300908401273,0.0032176782057498467,0.018104805144092306,0.05870098877097395,0.01170232922578315,-0.0009249677660420522,0.05920560370754196,0.1247346588085559,0.000572798235683761,-0.0061553626662227134,0.023556139739038424,-0.001830321992973115,0.022560801425330304,0.0012439096858301195,0.022791929231393435,0.13547611845159876,0.007532244849313526,0.012995753231028691,-0.00991400389896136,0.005189515589133032,-0.003710888089067458,-0.011279796831592422,0.002366141076466994,0.00018947849338909908,-0.015224494061737618,-0.013434773981381801,0.01659732602532145,0.01696532039872397,0.04659714944576484,0.014708879967648057,-0.011637333617032779,0.027762338351174934,-0.038732345891254384
4,-0.023402535319544438,0.030781450173359173,-0.05135994870571629,-0.08359094150117627,-0.21275553250052578,-0.09771462353004982,-0.0810039480688819,-0.07197024568646357,-0.0827763844185124,-0.01145852226767868,-0.07042080156949641,-0.0011207390095811479,-0.0008532902193143911,-0.06371941789504544,-0.33290276253130024,0.0018636359008843853,-0.014339561027254899,0.02397050760910062,-0.09937889433502498,-0.2104292972795491,0.006222258823059416,-0.009623230297488662,-0.1303989538537902,0.003691976324401868,-0.010727890806018159,-0.00028249783012488766,-0.0006771188251894024,0.00075788044822532,-0.0039007669996176317,0.007167647452031301,0.0009474042833080987,0.005083707822544152,0.0026291805571517926,-0.00020246921734137693,-0.010253990016815605,-0.029377901141683233,0.002213409914385467,-5.245813320432644e-06,-3.39410218651994e-05,0.028659576052160497
5,-0.15649356499675046,0.01671419135239238,-0.04647380068723832,-0.00018209650927177972,-0.21356620377597524,-0.0903554095619455,-0.11415562094781921,-2.8426434063796237e-05,-0.09292670364542943,-0.007883917451536571,-0.0713403586659875,-0.006214333392838266,-0.0016930337492639788,-0.050201036966403684,-0.04426155938741586,0.003204245272957117,-0.032037561837391634,-0.02190182297723724,0.01382091656029569,-0.02274881845549623,0.001472911043527498,-0.01624646366752183,-0.2416091808762091,0.001696549084682407,-0.016131769570082673,-0.011443964233186178,-0.0011632577496906702,0.0003235195541389594,-0.0024371646847677086,0.00044120097179522615,-0.001527955878875618,0.00262447160549107,0.004753971612930314,0.0004003694590333929,-0.05444896435792001,-0.052658408234830756,-0.022940339371804723,-0.002149408880025644,-7.747454942836825e-05,0.006947662135461613
6,0.05792188203718921,0.00957855490835847,0.04503539957171482,0.04268735992529481,0.45521714465456914,0.17219096428514075,0.637874835536225,0.0406458810346063,0.1431387957836244,0.017563655079271105,0.07924818575112483,0.004112462553567576,-0.004035664065050882,0.05949431816622336,0.19180808743046135,-0.0030674834468122254,0.13592972372801504,0.007790493353047527,0.029733670770703467,0.1197914130464449,-0.005981051270561135,0.017576198110034212,0.454938449828618,0.002084407706078524,-0.04774890894595711,0.005724146259807329,0.009040808881224443,-0.0077043544793501595,0.002058521186224534,0.0005082566819865651,0.00245399710695358,-0.002768122164876101,0.0025639210029764284,0.009294513135660279,0.008343871579096922,0.05593479548740967,0.016009816287724087,-0.005022989014430793,0.00014212011337270183,0.00765010279758857
7,0.044742181277147214,0.06834779779588157,-0.053197917042864334,0.03395912605410894,0.42849390998297493,0.1890284935043706,0.23238676681694906,0.03137930915958579,0.06184725782497073,0.019275139758392516,0.06661604147582344,0.004597032304268856,-0.008762271991421548,0.05488462898101231,0.19094693349203198,-0.0035482316462860427,0.029067236942098507,-0.014790230250465716,0.032732859091577096,0.14357115153354924,-0.0037112714439740107,0.02446227687992385,0.3911222245931459,0.013002416883445712,0.26214346620899154,0.0003537202874146519,0.0043979094096446274,-0.0035931597745797856,-0.008523680322758657,0.002827141273504301,-0.000812826515471663,-0.01432332766249245,-0.02404955017092565,0.010793914865724175,0.029604636565142537,0.04365872486768462,0.02005653043923201,0.0514728061845228,0.0003843871163672366,-0.024380080360012324
8,-0.11221677442351752,0.09595981248433219,-0.0077883939487713785,0.011789345227125337,-0.1546638955484507,-0.06341237650533973,-0.03092744325096569,-0.0032176607180927894,0.08433196350467279,0.011343027740286232,0.0250413955214009,0.0036297682065843367,-0.007875620146478638,-0.006618183276117927,0.14995547967940231,0.003441210274157929,0.03733943475775262,0.0003523727791338762,0.020196291418911737,0.04640106912774687,0.0018705284542349814,-0.019722958317045,0.2647848122726775,0.005061434567529286,-0.02012964978712733,0.024176920351212435,0.011294851894881332,0.009443854499939269,0.008405905860433507,-0.0049876356987814405,-0.000503588051791836,0.002719873430694567,0.006148946768488744,0.0056853501655613325,-0.030780874361816053,0.05644126205908419,0.05763522616992908,-0.0031991736642838506,-1.0395675593652913e-07,-0.005952110653087433
9,-0.03731073431328227,-0.2782081507906093,0.05858348633086189,-0.007783760409002385,-0.11084277396989478,-0.041959723585462134,-0.08767412885180788,0.01770316939390109,-0.004918533239550084,-0.09357781034576959,-0.01010339974215722,-0.0007019902305232539,-0.0027728141284360883,-0.03411216159974195,-0.13655423705331543,0.005062519465849829,-0.02276778782550149,0.020646229216676994,-0.008910659113766024,-0.04484615309928611,0.003300395238998121,-0.006356574113175116,-0.2217575930287972,0.0006355758313627813,-0.01153524828288864,0.0012042795319607306,0.002657678272331692,-0.0027676284762926584,-0.007586524648689016,0.002898587432248722,-0.0028212731568255317,-0.07438059208366331,-0.029735863739061077,0.012416862512107767,-0.008287960195793495,-0.0003835873900396281,-0.024768739777099903,-0.03504857160721774,0.00014210361945450755,-0.01934760317204862
